source,id,scientificName,species,decimalLatitude,decimalLongitude,depth,minimumDepthInMeters,maximumDepthInMeters,eventDate,year,country,region,basisOfRecord,datasetKey,datasetName,datasetDOI,publisher,publishingOrgKey,institutionCode,license,license_raw,occurrenceID,qc_flags,usable_mapa
GBIF,4081112851,"Grimpoteuthis innominata (O'Shea, 1999)",Grimpoteuthis innominata,-42.545167,179.395667,2217.5,2210,2225,2012-06-16,2012,New Zealand,Pacífico Sur,PRESERVED_SPECIMEN,4d0b1b2a-3209-49ce-bb93-7503e4868019,Earth Sciences New Zealand National Invertebrate Collection (NIC),10.15468/6qgswo,Earth Sciences New Zealand (ESNZ),c58ac019-b413-4613-8772-39e57acbeb8e,Earth Sciences New Zealand,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,614ec8ae-fa36-11e2-96b3-aa6f927c92a3,,si
GBIF,4081185720,"Grimpoteuthis innominata (O'Shea, 1999)",Grimpoteuthis innominata,-42.317,179.3635,2032,1639,2425,2012-06-16,2012,New Zealand,Pacífico Sur,PRESERVED_SPECIMEN,4d0b1b2a-3209-49ce-bb93-7503e4868019,Earth Sciences New Zealand National Invertebrate Collection (NIC),10.15468/6qgswo,Earth Sciences New Zealand (ESNZ),c58ac019-b413-4613-8772-39e57acbeb8e,Earth Sciences New Zealand,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,614b9918-fa36-11e2-96b3-aa6f927c92a3,,si
GBIF,2642984272,"Grimpoteuthis G.C.Robson, 1932",,42.2578,151.7754,5097.5,5061,5134,2012-08-20T22:37Z/2012-08-21T07:14Z,2012,,Pacífico Norte,PRESERVED_SPECIMEN,3c3020b4-6113-43db-b702-94b76aa5ed71,NW pacific deep-sea benthos distribution and abundance (Beneficial Project),10.15468/zkex9m,Deep-sea OBIS node,f0d23bad-fee1-435d-bdb6-d26a600cad62,,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,ZSM_Mol_20130090,,si
GBIF,4081180229,"Grimpoteuthis angularis Verhoeff & O'Shea, 2022",Grimpoteuthis angularis,-42.987167,179.746167,627.5,627,628,2010-06-23,2010,New Zealand,Pacífico Sur,PRESERVED_SPECIMEN,4d0b1b2a-3209-49ce-bb93-7503e4868019,Earth Sciences New Zealand National Invertebrate Collection (NIC),10.15468/6qgswo,Earth Sciences New Zealand (ESNZ),c58ac019-b413-4613-8772-39e57acbeb8e,Earth Sciences New Zealand,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,5d3614e8-fa36-11e2-96b3-aa6f927c92a3,,si
GBIF,2447284040,"Grimpoteuthis G.C.Robson, 1932",,-71.699,-93.693667,670,670,670,2009-01,2009,Antarctica,Océano Austral,PRESERVED_SPECIMEN,7eae038e-7a8e-492e-a4dc-43238cce7c52,Auburn University Museum of Natural History Malacology Collection,10.15468/fpdfbl,Auburn University Museum,34cc6c50-812c-11de-86fe-b8a03c50a862,AUM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,13ac93ac-4225-4a95-adf7-74ad6d6a1cc7,,si
GBIF,2447284840,"Grimpoteuthis G.C.Robson, 1932",,-71.699,-93.693667,670,670,670,2009-01,2009,Antarctica,Océano Austral,PRESERVED_SPECIMEN,7eae038e-7a8e-492e-a4dc-43238cce7c52,Auburn University Museum of Natural History Malacology Collection,10.15468/fpdfbl,Auburn University Museum,34cc6c50-812c-11de-86fe-b8a03c50a862,AUM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,7b70d709-6f6e-42ce-88d9-aa0395e62dd7,,si
GBIF,2447287180,"Grimpoteuthis G.C.Robson, 1932",,-71.699,-93.693667,670,670,670,2009-01,2009,Antarctica,Océano Austral,PRESERVED_SPECIMEN,7eae038e-7a8e-492e-a4dc-43238cce7c52,Auburn University Museum of Natural History Malacology Collection,10.15468/fpdfbl,Auburn University Museum,34cc6c50-812c-11de-86fe-b8a03c50a862,AUM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,22af851c-0d42-4b9d-a007-747cb0cb412f,,si
GBIF,2447292245,"Grimpoteuthis G.C.Robson, 1932",,-71.699,-93.693667,670,670,670,2009-01,2009,Antarctica,Océano Austral,PRESERVED_SPECIMEN,7eae038e-7a8e-492e-a4dc-43238cce7c52,Auburn University Museum of Natural History Malacology Collection,10.15468/fpdfbl,Auburn University Museum,34cc6c50-812c-11de-86fe-b8a03c50a862,AUM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,a8aae2af-812b-4e7b-9f76-0ca8d5d2308e,,si
GBIF,2235737584,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,51.75,-29.55,1911,1872,1950,2009-06-27,2009,,Atlántico Norte,PRESERVED_SPECIMEN,821cc27a-e3bb-4bc5-ac34-89ada245069d,NMNH Extant Biology,10.15468/hnhrg3,"National Museum of Natural History, Smithsonian Institution",bc092ff0-02e4-11dc-991f-b8a03c50a862,USNM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://n2t.net/ark:/65665/302a35f1e-43a3-47e3-9256-7b22ce10b9d3,,si
GBIF,2235790939,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,51.32,-28.87,3516,3505,3527,2009-06-27,2009,,Atlántico Norte,PRESERVED_SPECIMEN,821cc27a-e3bb-4bc5-ac34-89ada245069d,NMNH Extant Biology,10.15468/hnhrg3,"National Museum of Natural History, Smithsonian Institution",bc092ff0-02e4-11dc-991f-b8a03c50a862,USNM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://n2t.net/ark:/65665/32037f59a-b93b-44e0-ad8f-ba930e123f25,,si
